efo_id,disease_name,us_patients,us_prevalence_per_100k,source,as_of
MONDO_0010033,Generalized peeling skin syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Europe)",2025
MONDO_0012721,Progressive myoclonic epilepsy type 3,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0013281,COG4-CDG,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_3026,Radial ray hypoplasia-choanal atresia syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0012637,COG1-CDG,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008473,"Spondyloepimetaphyseal dysplasia, Maroteaux type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009955,RAPADILINO syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_263479,Fuchs heterochromic iridocyclitis,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0013049,DPM3-CDG,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_3023,External auditory canal atresia-vertical talus-hypertelorism syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0013325,COG5-CDG,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0012381,Hyperinsulinism due to INSR deficiency,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009821,Osteosclerotic bone dysplasia,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_3018,Retinal ischemic syndrome-digestive tract small vessel hyalinosis-diffuse cerebral calcifications syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009954,Ramon syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0007738,CHST3-related skeletal dysplasia,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
EFO_1000395,Nevus of Ito,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0008359,Radio-renal syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0016987,Neuroacanthocytosis,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0016986,Congenital smooth muscle hamartoma,99900,30.0,"Orphanet Prevalence at birth (1-5 / 10 000, Israel)",2025
MONDO_0010718,Absent radius-anogenital anomalies syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0016981,Infantile spasms-psychomotor retardation-progressive brain atrophy-basal ganglia disease syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010816,Qazi-Markouizos syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010051,Spastic tetraplegia-retinitis pigmentosa-intellectual disability syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009874,Rabson-Mendenhall syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
EFO_0003968,Angiosarcoma,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Europe)",2025
MONDO_0009942,Pyknoachondrogenesis,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009943,Pyle disease,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0016979,MRCS syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_263352,Postcardiotomy right ventricular failure,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0017583,Mirror polydactyly-vertebral segmentation-limbs defects syndrome,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0002588,Thymoma type A,166,0.05,"Orphanet Annual incidence (<1 / 1 000 000, Europe)",2025
MONDO_0008665,Ptosis-vocal cord paralysis syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0016974,Thymoma type B,166,0.05,"Orphanet Annual incidence (<1 / 1 000 000, Europe)",2025
EFO_1000582,Thymoma type AB,166,0.05,"Orphanet Annual incidence (<1 / 1 000 000, Europe)",2025
MONDO_0008341,Ptosis-strabismus-ectopic pupils syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009926,Autosomal recessive multiple pterygium syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0013291,Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008339,Antecubital pterygium syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008694,Pseudoprogeria syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010835,Pterygium colli-intellectual disability-digital anomalies syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009099,Arginine vasopressin resistance-intracranial calcification-short stature-facial dysmorphism syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010013,Schneckenbecken dysplasia,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009620,Say-Barber-Miller syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_3130,Satoyoshi syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010010,Schinzel-Giedion syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0016964,Partial duplication of the long arm of chromosome 14 syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010728,SCARF syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010002,Rothmund-Thomson syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008390,Rombo syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Europe)",2025
MONDO_0009716,Richieri Costa-da Silva syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009998,Richieri Costa-Pereira syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008247,Robin sequence-oligodactyly syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008389,Autosomal dominant Robinow syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017771,Mayer-Rokitansky-Küster-Hauser syndrome,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Worldwide)",2025
MONDO_0008662,Autosomal dominant vitreoretinochoroidopathy,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Europe)",2025
MONDO_0009990,Revesz syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Europe)",2025
MONDO_0012164,Meacham syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009996,"Rhizomelic syndrome, Urbach type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010661,"Severe X-linked intellectual disability, Gustavson type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010235,X-linked intellectual disability-psychosis-macroorchidism syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010203,"Intellectual disability, Wolff type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009584,"Intellectual disability, Buenos-Aires type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010664,"X-linked intellectual disability, Snyder type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009671,Intellectual disability-myopathy-short stature-endocrine defect syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010711,TARP syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008245,Piebald trait-neurologic defects syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_2881,Cutaneous photosensitivity-lethal colitis syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009873,Pilodental dysplasia-refractive errors syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009871,Pili torti-developmental delay-neurological abnormalities syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017321,Pili torti-onychodysplasia syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010710,Pierre Robin syndrome-faciodigital anomaly syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017315,Short stature-webbed neck-heart disease syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017316,Short stature-deafness-neutrophil dysfunction-dysmorphism syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008499,Short stature-wormian bones-dextrocardia syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017069,Spinal dysraphism with a posterior meningocele,99900,30.0,"Orphanet Prevalence at birth (1-5 / 10 000, Saudi Arabia)",2025
MONDO_0017318,Phakomatosis pigmentovascularis,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009859,PHAVER syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017317,Phakomatosis pigmentokeratotica,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009858,Pfeiffer-Palm-Teller syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009036,"Cardiocranial syndrome, Pfeiffer type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0011046,"Short stature, Brussels type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0007461,Short stature-valvular heart disease-characteristic facies syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
EFO_0009028,Camptodactyly-arthropathy-coxa-vara-pericarditis syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017301,Pericardial and diaphragmatic defect,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_2838,Renal caliceal diverticuli-deafness syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0011235,Pelvic dysplasia-arthrogryposis of lower limbs syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008217,Pelvis-shoulder dysplasia,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017312,Perrault syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009232,Fuhrmann syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0011414,Peters anomaly,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008756,Alopecia-intellectual disability syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017062,Open spinal dysraphism,333000,100.0,"Orphanet Point prevalence (>1 / 1000, United Kingdom)",2025
MONDO_0013767,RAS-associated autoimmune leukoproliferative disease,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010867,PARC syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008443,Spastic paraplegia-precocious puberty syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017275,Spastic paraplegia-facial-cutaneous lesions syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008440,Spastic paraplegia-nephritis-deafness syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008442,Spastic paraplegia-neuropathy-poikiloderma syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0011445,Autosomal recessive spastic paraplegia type 11,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Portugal)",2025
Orphanet_2835,Pectus excavatum-macrocephaly-dysplastic nails syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017056,DYRK1A-related intellectual disability syndrome due to 21q22.13q22.2 microdeletion,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_268249,Mycophenolate mofetil embryopathy,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_268316,Complication in hemodialysis,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Europe)",2025
MONDO_0017052,Intermediate maple syrup urine disease,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0010855,Short tarsus-absence of lower eyelashes syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017051,Classic maple syrup urine disease,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0008492,Stiff skin syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010208,Wrinkly skin syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017569,De Barsy syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010104,Non-eruption of teeth-maxillary hypoplasia-genu valgum syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008322,Pseudoachondroplasia,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0008211,"Pseudoleprechaunism syndrome, Patterson type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009915,"46,XX difference of sex development-skeletal anomalies syndrome",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009920,Acrootoocular syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Europe)",2025
MONDO_0007212,Brachydactyly-long thumb syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0015986,"Renal agenesis, bilateral",16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Europe)",2025
Orphanet_2951,Absent thumb-short stature-immunodeficiency syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008607,Triphalangeal thumbs-brachyectrodactyly syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017568,Acrodysplasia scoliosis,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008724,"Adducted thumbs-arthrogryposis syndrome, Christian type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008310,Hutchinson-Gilford progeria syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008311,Progeria-short stature-pigmented nevi syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008301,Guttmacher syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010667,X-linked intellectual disability-dysmorphism-cerebral atrophy syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0000447,Isolated polycystic liver disease,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0008809,Digital extensor muscle aplasia-polyneuropathy,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017379,Polyneuropathy-intellectual disability-acromicria-premature menopause syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008286,Crossed polysyndactyly,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009900,Polysyndactyly-cardiac malformation syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_2941,Porencephaly-cerebellar hypoplasia-internal malformations syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017410,Porencephaly,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, United States)",2025
MONDO_0012589,Pitt-Hopkins syndrome,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0011018,Brachyolmia-amelogenesis imperfecta syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0007894,Leri pleonosteosis,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Europe)",2025
EFO_1001115,POEMS syndrome,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Japan)",2025
MONDO_0017013,Trisomy 8p syndrome,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Worldwide)",2025
MONDO_0017365,Hereditary acrokeratotic poikiloderma,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008262,Poland syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0020693,Glycogen storage disease due to liver phosphorylase kinase deficiency,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Europe)",2025
MONDO_0009895,Postaxial polydactyly-dental and vertebral anomalies syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008268,Polydactyly-myopia syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008267,Orofaciodigital syndrome type 5,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0012580,Hereditary pulmonary alveolar proteinosis,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009777,Oliver syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017377,Preaxial polydactyly-colobomata-intellectual disability syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_264688,Congenital chylothorax,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Germany)",2025
Orphanet_3374,Unilateral ocular duplication,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
EFO_0009054,Pulmonary arterial hypertension associated with congenital heart disease,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0015744,Distal duplication 19q syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010154,Trigonocephaly-bifid nose-acral anomalies syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017148,Heritable pulmonary arterial hypertension,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Europe)",2025
EFO_0009192,Drug- or toxin-induced pulmonary arterial hypertension,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, France)",2025
MONDO_0010749,Trigonocephaly-short stature-developmental delay syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
EFO_0009196,Pulmonary arterial hypertension associated with connective tissue disease,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0010152,Trichomegaly-retina pigmentary degeneration-dwarfism syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
EFO_0700022,Lysosomal acid lipase deficiency,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0018065,Non-syndromic metopic craniosynostosis,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Europe)",2025
MONDO_0018064,Trigonocephaly-broad thumbs syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017147,Idiopathic pulmonary arterial hypertension,1665,0.5,"Orphanet Annual incidence (1-9 / 1 000 000, United States)",2025
MONDO_0008598,Trichodysplasia-xeroderma syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008624,Upington disease,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009905,Urban-Rogers-Meyer syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0017167,Malignant epithelial tumor of salivary glands,1665,0.5,"Orphanet Annual incidence (1-9 / 1 000 000, Europe)",2025
MONDO_0017169,Multiple endocrine neoplasia,166,0.05,"Orphanet Annual incidence (<1 / 1 000 000, Ireland)",2025
MONDO_0010172,VACTERL with hydrocephalus,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0007152,Uhl anomaly,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009963,Ulbright-Hodes syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008611,Humerus trochlea aplasia,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0018072,Common arterial trunk,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Worldwide)",2025
MONDO_0017160,Behavioral variant of frontotemporal dementia,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Netherlands)",2025
Orphanet_275944,Hemolytic disease of the newborn with Kell alloimmunization,333000,100.0,"Orphanet Annual incidence (>1 / 1000, United Kingdom)",2025
MONDO_0010887,Isolated anterior cervical hypertrichosis,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0018075,Neural tube defect,249750,75.0,"Orphanet Prevalence at birth (6-9 / 10 000, United States)",2025
MONDO_0015763,Mosaic trisomy 2 syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0015771,Mosaic trisomy 7 syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0018050,Tibial aplasia-ectrodactyly syndrome,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0010981,Absent tibia-polydactyly-arachnoid cyst syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010128,Thyrocerebrorenal syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010129,Thymic-renal-anal-lung dysplasia,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0014076,Hoyeraal-Hreidarsson syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008551,Thoracolaryngopelvic dysplasia,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0018043,Thomas syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008142,"Thiemann disease, familial form",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010153,Trichoodontoonychial dysplasia,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
EFO_0000668,Preeclampsia,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Europe)",2025
MONDO_0018061,Trichodermodysplasia-dental alterations syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0011524,Dianzani autoimmune lymphoproliferative disease,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0011083,Trichodental syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0011804,Autoimmune lymphoproliferative syndrome-recurrent viral infections due to CASP8 deficiency,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008592,Tricho-dento-osseous syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_3350,Tremor-nystagmus-duodenal ulcer syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010748,Torticollis-keloids-cryptorchidism-renal dysplasia syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008818,Arterial tortuosity syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010854,Oculoectodermal syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
EFO_0700065,Hereditary ATTR amyloidosis,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Worldwide)",2025
MONDO_0009021,Toriello-Carey syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_3469,XK aprosencephaly syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008995,Yunis-Varon syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_3319,Congenital amegakaryocytic thrombocytopenia,1665,0.5,"Orphanet Prevalence at birth (1-9 / 1 000 000, United Kingdom)",2025
MONDO_0000200,Zimmermann-Laband syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010665,Wilson-Turner syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009419,Woodhouse-Sakati syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008688,WT limb-blood syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008503,Worster-Drought syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0017139,Oromandibular-limb hypogenesis syndrome,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0017579,Baraitser-Winter cerebrofrontofacial syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_3200,Arthrogryposis-ectodermal dysplasia syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0015516,Symbrachydactyly of hands and feet,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
